track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
810099	781	3414	13	4	0	0	6.0	1
1125443	597	3412	5	2	0	0	0.0	0
261812	1210	3411	5	3	1	0	0.0	0
110413	599	3409	82	44	1	0	0.0	0
1176655	821	3409	36	21	0	0	0.0	0
146599	812	3408	22	8	0	0	0.0	0
127597	832	3408	105	44	0	0	6.0	1
1281915	613	3407	10	8	1	0	0.0	0
44675	863	3405	54	39	0	0	0.0	0
202750	620	3404	34	16	0	0	6.0	1
1176151	1062	3401	6	3	1	0	0.0	0
1122010	829	3400	18	7	1	0	10.0	1
1164061	801	3399	3	1	0	0	0.0	0
1168486	1825	3398	5	3	0	0	0.0	0
134145	1373	3396	56	35	0	0	0.0	0
183454	777	3396	82	37	1	0	0.0	0
235454	1145	3396	9	6	0	0	0.0	0
1129054	3040	3394	9	3	1	0	0.0	0
225610	299	3393	67	41	0	0	0.0	0
1151330	6940	3392	1	0	0	1	4.0	1
1168349	1185	3392	6	3	0	0	2.6667	3
225606	458	3391	67	41	0	0	0.0	0
936434	1096	3391	4	1	0	1	0.0	0
401635	386	3390	100	56	2	0	6.0	1
1114150	1158	3387	4	2	1	0	0.0	0
1088828	4445	3387	0	0	0	0	0.0	0
1381922	926	3387	9	3	0	0	0.0	0
1068572	4602	3386	5	1	0	0	0.0	1
1166102	1428	3382	12	8	1	0	2.6667	3
373297	1207	3382	54	27	0	0	0.0	0
511086	953	3381	84	40	0	0	6.0	1
1404033	82	3380	4	2	0	0	6.0	1
1228628	8027	3379	4	1	0	0	0.0	0
335602	3235	3376	11	4	0	0	0.0	0
1343594	1807	3375	11	5	0	0	0.0	0
1350317	1135	3374	8	1	0	0	0.0	0
36980	270	3374	39	17	0	0	0.0	0
1387483	4038	3371	3	1	0	0	5.0	3
1109813	824	3367	9	2	1	0	0.0	0
130593	860	3366	77	33	0	0	0.0	0
1397148	1467	3364	8	2	0	0	0.0	0
1398420	740	3363	12	1	0	0	0.0	0
1277797	1047	3361	12	6	0	0	0.0	0
1232049	1146	3358	18	10	0	0	0.0	0
1096867	1076	3358	7	1	0	0	0.0	0
211988	4407	3357	88	51	0	0	0.0	0
934045	818	3354	14	9	0	0	0.0	0
73872	232	3353	12	5	0	0	0.0	0
44218	802	3349	96	57	0	0	0.0	0
1371775	1938	3349	3	2	0	0	0.0	0
397626	540	3345	13	8	1	0	8.0	1
1210134	6545	3341	7	3	0	0	0.0	0
163385	1685	3340	48	32	1	0	6.0	1
1279223	3518	3337	5	2	0	0	6.0	1
1113992	825	3337	11	5	0	0	0.0	0
311997	1334	3333	14	8	0	0	5.0	2
1367174	805	3333	10	3	0	0	6.0	2
1398501	2001	3331	8	3	0	0	0.0	0
1381525	883	3328	12	6	0	0	0.0	0
1217789	1756	3326	13	4	0	0	0.0	0
35054	780	3325	363	332	0	0	4.0	1
321236	1870	3325	46	23	0	0	0.0	0
240770	532	3324	107	75	0	0	0.0	0
946950	4129	3322	8	4	1	0	0.0	0
1194829	679	3321	9	6	1	0	0.0	0
1172353	1995	3316	5	3	0	0	0.0	0
466216	3117	3316	57	32	0	0	0.0	0
292501	862	3313	31	17	0	0	0.0	0
1085692	1515	3313	4	2	0	0	0.0	0
936455	3005	3311	6	3	0	0	0.0	0
260808	1343	3309	66	44	0	0	0.0	0
1138694	791	3309	23	10	0	0	0.0	0
373409	1837	3308	52	26	0	0	0.0	0
454757	1432	3308	11	4	1	0	0.0	0
923055	871	3307	6	1	0	0	0.0	0
1033258	744	3305	7	3	1	0	6.0	1
458246	711	3305	121	62	0	0	0.0	0
37373	784	3303	70	39	1	0	0.0	0
1163324	1501	3302	23	8	0	0	2.0	2
1170014	3473	3301	2	1	0	0	2.6667	3
1136894	1321	3300	10	1	0	0	0.0	0
1242798	1125	3299	16	3	0	0	0.0	0
1350308	3978	3296	6	4	0	0	0.0	0
355681	1126	3294	9	1	0	0	0.0	0
115135	600	3290	79	43	0	0	0.0	0
1405940	1034	3289	9	6	0	0	0.0	0
1348113	621	3289	21	8	0	0	8.0	2
792448	929	3288	29	14	1	0	0.0	0
940184	2306	3288	9	3	0	0	0.0	0
1011642	1921	3287	11	1	0	0	6.0	1
119348	597	3286	63	39	0	0	0.0	0
24112	253	3285	44	27	0	0	0.0	0
1034364	377	3285	0	0	0	0	0.0	0
1373259	953	3281	31	16	0	0	0.0	0
1329289	1443	3281	4	1	0	0	0.0	0
918878	1069	3280	12	3	1	0	0.0	0
324853	2409	3278	7	2	0	0	0.0	0
17476	1925	3277	274	247	0	0	0.0	0
159419	709	3276	95	62	0	0	0.0	0
1299817	1082	3276	15	6	0	0	10.0	1
82180	1308	3274	10	6	0	0	0.0	0
46823	441	3271	44	21	0	0	6.0	1
1058161	1304	3271	0	0	0	0	0.0	0
973493	1234	3270	33	16	0	0	0.0	0
1153112	6013	3268	3	0	0	0	0.0	0
346287	339	3267	44	29	0	0	0.0	0
1095236	1455	3265	2	0	1	0	10.0	1
49144	1583	3261	20	8	0	0	4.0	1
180499	1193	3259	5	2	0	0	6.0	1
1354579	4638	3259	10	6	0	0	0.0	0
1398417	1292	3257	7	0	0	0	0.0	0
1344547	232	3256	5	3	0	0	0.0	0
123433	745	3250	69	38	0	0	0.0	0
1210723	946	3250	17	8	0	0	10.0	1
972187	433	3249	8	4	0	0	0.0	0
1411198	628	3248	22	6	0	0	0.0	0
78131	350	3248	39	20	0	0	0.0	0
131010	2575	3247	19	6	0	0	0.0	0
510851	659	3246	101	41	0	0	0.0	0
246923	377	3242	13	5	0	0	0.0	0
1098677	7739	3240	2	2	0	0	0.0	0
314070	421	3239	40	21	0	0	0.0	0
723360	913	3238	54	31	0	0	0.0	0
130602	971	3236	78	31	0	0	0.0	0
606898	774	3235	60	32	0	0	0.0	0
243529	1009	3234	37	20	0	0	0.0	0
1349403	1468	3233	11	8	0	0	3.0	1
146600	543	3233	22	8	0	0	0.0	0
321110	1514	3233	47	25	0	0	0.0	0
